[GIN] 2024/10/14 - 23:36:06 | 200 |         763µs |    192.168.0.22 | POST     "/auth/course/shoucanglist"
[GIN] 2024/10/14 - 23:36:06 | 200 |            0s |    192.168.0.22 | POST     "/auth/user/info"
[GIN] 2024/10/14 - 23:36:06 | 200 |      3.0015ms |    192.168.0.22 | POST     "/auth/course/recordlist"
[GIN] 2024/10/14 - 23:36:07 | 200 |            0s |    192.168.0.22 | POST     "/auth/user/online"
[GIN] 2024/10/14 - 23:36:09 | 200 |       249.1µs |    192.168.0.22 | POST     "/auth/user/online"
[GIN] 2024/10/14 - 23:36:11 | 200 |            0s |    192.168.0.22 | POST     "/auth/user/online"
[GIN] 2024/10/14 - 23:36:13 | 200 |       289.8µs |    192.168.0.22 | POST     "/auth/user/online"
[GIN] 2024/10/14 - 23:36:14 | 200 |         395µs |    192.168.0.22 | POST     "/user/login"
[GIN] 2024/10/14 - 23:36:14 | 200 |            0s |    192.168.0.22 | POST     "/auth/user/info"
[GIN] 2024/10/14 - 23:36:15 | 200 |            0s |    192.168.0.22 | POST     "/auth/user/online"
[GIN] 2024/10/14 - 23:36:17 | 200 |            0s |    192.168.0.22 | POST     "/auth/user/online"
[GIN] 2024/10/14 - 23:36:18 | 200 |       724.8µs |    192.168.0.22 | POST     "/auth/work/status"
[GIN] 2024/10/14 - 23:36:20 | 200 |       640.1µs |    192.168.0.22 | POST     "/auth/user/online"
[GIN] 2024/10/14 - 23:36:20 | 200 |            0s |    192.168.0.22 | POST     "/auth/work/status"
[GIN] 2024/10/14 - 23:36:22 | 200 |            0s |    192.168.0.22 | POST     "/auth/user/online"
[GIN] 2024/10/14 - 23:36:22 | 200 |       645.4µs |    192.168.0.22 | POST     "/auth/work/status"
[GIN] 2024/10/14 - 23:36:24 | 200 |            0s |    192.168.0.22 | POST     "/auth/user/online"
[GIN] 2024/10/14 - 23:36:24 | 200 |            0s |    192.168.0.22 | POST     "/auth/work/status"
[GIN] 2024/10/14 - 23:36:26 | 200 |            0s |    192.168.0.22 | POST     "/auth/user/online"
[GIN] 2024/10/14 - 23:36:26 | 200 |       811.6µs |    192.168.0.22 | POST     "/auth/work/status"
[GIN] 2024/10/14 - 23:36:28 | 200 |            0s |    192.168.0.22 | POST     "/auth/user/online"
[GIN] 2024/10/14 - 23:36:28 | 200 |            0s |    192.168.0.22 | POST     "/auth/work/status"
[GIN] 2024/10/14 - 23:36:30 | 200 |            0s |    192.168.0.22 | POST     "/auth/user/online"
[GIN] 2024/10/14 - 23:36:30 | 200 |      1.0047ms |    192.168.0.22 | POST     "/auth/work/status"
